Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M015,P.S. 15 - MANHATTAN,Trust For Public Lan,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,11/1/2014,10/15/2015,11/30/2015,150000,150000,"$75,000.00 ",DSF: 0000800355
1,M015,P.S. 15 - MANHATTAN,Trust For Public Lan,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,440000,440000,$0.00 ,DSF: 0000800355
1,M015,P.S. 15 - MANHATTAN,Trust For Public Lan,FY15 RESO A PLAYGROUND REDEVELOPMENT,F&E,Complete,1/1/2015,6/30/2015,6/30/2015,134000,134000,"$134,000.00 ",DSF: 0000800355
1,M019,P.S. 19 - MANHATTAN,RCT CIP,LIGHTING REPLACEMENT,Scope,Complete,9/18/2015,9/18/2015,9/18/2015,15238,7856,"$7,856.00 ",DSF: 0000808194
1,M019,P.S. 19 - MANHATTAN,RCT CIP,LIGHTING REPLACEMENT,Design,Complete,9/18/2015,1/19/2016,12/7/2015,60954,31422,"$31,422.00 ",DSF: 0000808194
1,M019,P.S. 19 - MANHATTAN,RCT CIP,LIGHTING REPLACEMENT,Construction,PNS,PNS,PNS,PNS,1142885,1142885,"$1,729.00 ",DSF: 0000808194
1,M019,P.S. 19 - MANHATTAN,RCT CIP,LIGHTING REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,71113,71113,"$5,476.00 ",DSF: 0000808194
1,M025,LOWER EAST SIDE PREP HS - M,RCT CIP,LIGHTING REPLACEMENT,Scope,Complete,7/27/2015,7/27/2015,7/27/2015,28161,1707,"$1,707.00 ",DSF: 0000808252
1,M025,LOWER EAST SIDE PREP HS - M,RCT CIP,LIGHTING REPLACEMENT,Design,Complete,7/27/2015,11/27/2015,12/15/2015,112642,6830,"$6,830.00 ",DSF: 0000808252
1,M025,LOWER EAST SIDE PREP HS - M,RCT CIP,LIGHTING REPLACEMENT,Construction,PNS,PNS,PNS,PNS,2112042,2112042,"$2,751.00 ",DSF: 0000808252
1,M025,LOWER EAST SIDE PREP HS - M,RCT CIP,LIGHTING REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,131416,131416,"$11,041.00 ",DSF: 0000808252
1,M025,I.S. 378 - MANHATTAN,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,7/30/2015,8/27/2015,90000,89072,"$89,072.00 ",DSF: 0000800670
1,M034,P.S. 34 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,11/10/2015,DIIT,336679,"$319,464.00 ",DSF: 0000777074
1,M056,J.H.S. 292 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,8/20/2014,8/20/2014,8/20/2014,20235,8390,"$8,390.00 ",DSF: 0000785220
1,M056,J.H.S. 292 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/20/2014,12/22/2014,10/21/2014,80940,38041,"$38,041.00 ",DSF: 0000785220
1,M056,J.H.S. 292 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,2/23/2015,11/19/2015,,1517625,1420307,"$1,296,244.00 ",DSF: 0000785220
1,M056,J.H.S. 292 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,2/23/2015,11/19/2015,,94430,65616,"$65,616.00 ",DSF: 0000785220
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,CTF-SCHOOL BASED HEALTH CENTER,Scope,Complete,9/24/2015,12/24/2015,11/5/2015,27000,939,$939.00 ,DSF: 0000822689
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,CTF-SCHOOL BASED HEALTH CENTER,Design,In-Progress,11/5/2015,3/31/2016,,108000,108000,"$3,756.00 ",DSF: 0000822689
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,CTF-SCHOOL BASED HEALTH CENTER,Construction,PNS,PNS,PNS,PNS,2025000,2025000,$695.00 ,DSF: 0000822689
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,CTF-SCHOOL BASED HEALTH CENTER,"CM, F&E",PNS,PNS,PNS,PNS,126000,126000,"$8,353.00 ",DSF: 0000822689
1,M060,EASTSIDE COMMUNITY HS - M,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,Complete,5/31/2013,10/16/2013,11/8/2013,121164,176980,"$169,735.00 ","DSF: 0000762652, 0000785275, 0000785277, 0000799353"
1,M060,EASTSIDE COMMUNITY HS - M,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Design,Complete,11/20/2013,4/24/2014,5/6/2014,402448,332202,"$305,015.00 ","DSF: 0000762652, 0000785275, 0000785277, 0000799353"
1,M060,EASTSIDE COMMUNITY HS - M,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Construction,In-Progress,8/11/2014,2/1/2016,,6491866,6420692,"$4,099,276.00 ","DSF: 0000762652, 0000785275, 0000785277, 0000799353"
1,M060,EASTSIDE COMMUNITY HS - M,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,"CM, F&E",In-Progress,8/11/2014,2/1/2016,,753336,220484,"$215,519.00 ","DSF: 0000762652, 0000785275, 0000785277, 0000799353"
1,M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,FIFTH FLOOR CEILING REPLACEMENT,Construction,In-Progress,8/26/2013,FTK,,FTK,294696,"$294,696.00 ",DSF: 0000777438
1,M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,EMERGENCY WALL DEMO,Construction,In-Progress,12/4/2012,FTK,,FTK,5690445,"$5,600,818.00 ",DSF: 0000023053
1,M060,EASTSIDE COMMUNITY HS - M,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,163259,$0.00 ,DSF: 0000776320
1,M060,EASTSIDE COMMUNITY HS - M,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,252449,$0.00 ,DSF: 0000777090
1,M060,EASTSIDE COMMUNITY HS - M,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,9/16/2015,50000,49497,"$49,497.00 ",DSF: 0000800676
1,M061,P.S. 361 - MANHATTAN,SCA CIP,RPZ VALVES/LOW VOLT/ELEC UPGRADE,Scope,Complete,9/17/2013,12/18/2013,11/12/2013,46528,38370,"$38,370.00 ","DSF: 0000762665, 0000775645, 0000785297"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,RPZ VALVES/LOW VOLT/ELEC UPGRADE,Design,Complete,11/19/2013,5/23/2014,5/22/2014,152330,155586,"$155,586.00 ","DSF: 0000762665, 0000775645, 0000785297"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,RPZ VALVES/LOW VOLT/ELEC UPGRADE,Construction,PNS,PNS,PNS,PNS,2423086,2423086,"$22,715.00 ","DSF: 0000762665, 0000775645, 0000785297"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,RPZ VALVES/LOW VOLT/ELEC UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,294338,294338,"$69,174.00 ","DSF: 0000762665, 0000775645, 0000785297"
1,M061,P.S. 361 - MANHATTAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822892
1,M061,P.S. 361 - MANHATTAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,12000,12000,$0.00 ,DSF: 0000822892
1,M061,P.S. 361 - MANHATTAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,176000,$0.00 ,DSF: 0000822892
1,M061,P.S. 361 - MANHATTAN,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,12000,12000,$0.00 ,DSF: 0000822892
1,M061,P.S. 361 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,10/27/2015,DIIT,381215,"$381,215.00 ",DSF: 0000777092
1,M061,P.S. 315 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,381215,"$381,215.00 ",DSF: 0000777091
1,M063,P.S. 63,SCA CIP,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY,Scope,Complete,6/25/2012,11/8/2012,3/13/2013,298494,152239,"$152,239.00 ","DSF: 0000739730, 0000762690, 0000762692, 0000762695"
1,M063,P.S. 63,SCA CIP,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY,Design,Complete,3/13/2013,8/12/2013,5/22/2013,1031688,349884,"$316,819.00 ","DSF: 0000739730, 0000762690, 0000762692, 0000762695"
1,M063,P.S. 63,SCA CIP,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY,Construction,In-Progress,8/7/2013,8/6/2015,,16454845,15981147,"$9,794,236.00 ","DSF: 0000739730, 0000762690, 0000762692, 0000762695"
1,M063,P.S. 63,SCA CIP,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY,"CM, F&E",In-Progress,8/7/2013,8/6/2015,,1425816,687470,"$662,568.00 ","DSF: 0000739730, 0000762690, 0000762692, 0000762695"
1,M063,P.S. 63 - MANHATTAN,SCA CIP RESOA,FY09 RESO A- KITCHEN AREAS,Scope,Complete,1/19/2011,6/20/2011,8/2/2011,0,28336,"$28,336.00 ",DSF: 0000731083
1,M063,P.S. 63 - MANHATTAN,SCA CIP RESOA,FY09 RESO A- KITCHEN AREAS,Design,Complete,8/14/2013,2/6/2014,5/15/2014,53981,70189,"$68,798.00 ",DSF: 0000731083
1,M063,P.S. 63 - MANHATTAN,SCA CIP RESOA,FY09 RESO A- KITCHEN AREAS,Construction,PNS,PNS,PNS,PNS,791718,791718,"$14,971.00 ",DSF: 0000731083
1,M063,P.S. 63 - MANHATTAN,SCA CIP RESOA,FY09 RESO A- KITCHEN AREAS,"CM, F&E",PNS,PNS,PNS,PNS,53981,53981,"$20,924.00 ",DSF: 0000731083
1,M063,P.S. 363 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,147186,$0.00 ,DSF: 0000777094
1,M063,P.S. 63 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,147186,$0.00 ,DSF: 0000777093
1,M064,P.S. 64 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/9/2014,9968,16230,"$16,230.00 ",DSF: 0000776052
1,M064,P.S. 64 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/10/2014,5/15/2014,4/11/2014,29905,20184,"$20,184.00 ",DSF: 0000776052
1,M064,P.S. 64 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,11/12/2014,9/7/2015,,380461,349616,"$304,486.00 ",DSF: 0000776052
1,M064,P.S. 64 - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,11/12/2014,9/7/2015,,191067,144999,"$130,072.00 ",DSF: 0000776052
1,M064,I.S. 839 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS OPPOSITE ROO,Construction,In-Progress,5/6/2015,DOES,,DOES,308371,"$306,139.00 ",DSF: 0000785332
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/9/2014,8818,13868,"$13,868.00 ",DSF: 0000776054
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/10/2014,5/15/2014,4/11/2014,26455,18889,"$18,889.00 ",DSF: 0000776054
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,11/12/2014,9/7/2015,,336561,311761,"$265,101.00 ",DSF: 0000776054
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,11/12/2014,9/7/2015,,169007,128307,"$108,853.00 ",DSF: 0000776054
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY,Scope,Complete,11/27/2013,4/16/2014,8/22/2014,127500,187764,"$181,767.00 ","DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY,Design,Complete,12/15/2014,5/18/2015,5/4/2015,454455,263881,"$182,740.00 ","DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY,Construction,In-Progress,9/10/2015,12/2/2016,,7808865,7071272,"$118,872.00 ","DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY,"CM, F&E",In-Progress,9/10/2015,12/2/2016,,721962,118838,"$118,838.00 ","DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636"
1,M097,BARD COLLEGE HS - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,6/10/2015,6/10/2015,6/10/2015,19770,267,$267.00 ,DSF: 0000798378
1,M097,BARD COLLEGE HS - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,6/10/2015,10/9/2015,9/10/2015,56015,1067,"$1,067.00 ",DSF: 0000798378
1,M097,BARD COLLEGE HS - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,12/21/2015,9/15/2016,,754555,675794,"$16,773.00 ",DSF: 0000798378
1,M097,BARD COLLEGE HS - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,12/21/2015,9/15/2016,,144980,72415,"$1,114.00 ",DSF: 0000798378
1,M097,BARD COLLEGE HS - MANHATTAN,SCA IEH,IEH PO18-GYM AND CAFETERIA FLOORING,Construction,Complete,12/11/2012,IEH,12/31/2015,IEH,1189,"$1,189.00 ",DSF: 0000023918
1,M110,P.S. 110 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS 410 AND 311,Construction,In-Progress,8/14/2015,DOES,,DOES,124661,"$124,661.00 ",DSF: 0000785740
1,M110,P.S. 110 - MANHATTAN,DOE - Skilled Trades,TOILETS STUDENTS,Construction,In-Progress,5/21/2015,DOES,,DOES,214860,"$214,860.00 ",DSF: 0000809086
1,M134,P.S. 134 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,Complete,6/24/2013,12/31/2013,11/20/2015,DIIT,376603,"$376,603.00 ",DSF: 0000777114
1,M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,6/8/2015,DOES,,DOES,89277,"$74,277.00 ",DSF: 0000809418
1,M137,P.S. 184 - MANHATTAN,DOE- RESOA,FY15 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,100000,100000,$0.00 ,DSF: 0000800504
1,M137,P.S. 184 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS PRINCIPAL OF,Construction,In-Progress,5/22/2015,DOES,,DOES,240005,"$240,005.00 ",DSF: 0000786136
1,M137,P.S. 184 - MANHATTAN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,8/14/2015,DOES,,DOES,89891,"$89,891.00 ",DSF: 0000809459
1,M142,P.S. 142 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/17/2014,9/17/2014,7/28/2014,2166,5220,"$5,220.00 ",DSF: 0000799587
1,M142,P.S. 142 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/30/2014,12/1/2014,10/14/2014,6138,10582,"$10,582.00 ",DSF: 0000799587
1,M142,P.S. 142 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,3/23/2015,12/17/2015,10/4/2015,82680,89214,"$79,857.00 ",DSF: 0000799587
1,M142,P.S. 142 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,3/23/2015,12/17/2015,10/4/2015,15886,21575,"$21,575.00 ",DSF: 0000799587
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,Scope,Complete,7/30/2015,2/2/2016,9/1/2015,30866,7640,"$7,640.00 ",DSF: 0000809493
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,Design,In-Progress,10/2/2015,6/30/2016,,123463,123463,"$31,523.00 ",DSF: 0000809493
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,Construction,PNS,PNS,PNS,PNS,2314935,2314935,"$43,127.00 ",DSF: 0000809493
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,"CM, F&E",PNS,PNS,PNS,PNS,144040,144040,"$15,169.00 ",DSF: 0000809493
1,M188,P.S. 188 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/17/2014,9/17/2014,7/28/2014,2092,5040,"$5,040.00 ",DSF: 0000799593
1,M188,P.S. 188 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/30/2014,12/1/2014,10/14/2014,5926,12860,"$12,860.00 ",DSF: 0000799593
1,M188,P.S. 188 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,3/23/2015,12/17/2015,10/4/2015,79829,85211,"$77,560.00 ",DSF: 0000799593
1,M188,P.S. 188 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,3/23/2015,12/17/2015,10/4/2015,15338,18287,"$18,287.00 ",DSF: 0000799593
1,M188,P.S. 188 - MANHATTAN,Fast Track Projects,LL26-EXIT SIGNS,Construction,In-Progress,3/5/2014,FTK,,FTK,123086,"$18,064.00 ",DSF: 0000777498
1,M188,P.S. 188 - MANHATTAN,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,10/2/2014,DOES,,DOES,148124,"$148,124.00 ",DSF: 0000809940
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,FIRE ALARM/VENTILATION,Scope,Complete,7/18/2013,10/17/2013,11/7/2013,51611,30989,"$30,794.00 ","DSF: 0000741361, 0000786971"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,FIRE ALARM/VENTILATION,Design,Complete,11/20/2013,5/27/2014,10/16/2014,206444,133562,"$130,455.00 ","DSF: 0000741361, 0000786971"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,FIRE ALARM/VENTILATION,Construction,PNS,PNS,PNS,PNS,3870813,3870813,"$15,241.00 ","DSF: 0000741361, 0000786971"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,FIRE ALARM/VENTILATION,"CM, F&E",PNS,PNS,PNS,PNS,240851,240851,"$14,876.00 ","DSF: 0000741361, 0000786971"
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE- RESOA,FY14 RESO A TOILETS - STUDENTS,Construction,Complete,4/30/2014,6/15/2015,6/15/2015,165000,148671,"$148,671.00 ",DSF: 0000798816
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE - Skilled Trades,BATHROOM UPGRADE GIRLS 1ST FLOOR,Construction,In-Progress,9/30/2014,DOES,,DOES,82987,"$82,987.00 ",DSF: 0000786964
1,M510,CASCADES CTR FOR TCHING & LNG,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,6/24/2015,6/24/2015,6/24/2015,23265,267,$267.00 ,DSF: 0000787219
1,M510,CASCADES CTR FOR TCHING & LNG,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,6/24/2015,10/26/2015,9/9/2015,65918,1067,"$1,067.00 ",DSF: 0000787219
1,M510,CASCADES CTR FOR TCHING & LNG,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,887948,887948,"$4,032.00 ",DSF: 0000787219
1,M510,CASCADES CTR FOR TCHING & LNG,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,170610,170610,$988.00 ,DSF: 0000787219
1,M510,CASCADES CTR FOR TCHING & LNG,DOE- RESOA,FY14 RESO A CAFETERIA/MULTIPURPOSE,Construction,Complete,7/28/2014,1/1/2015,1/1/2015,66141,73526,"$66,141.00 ",DSF: 0000798777
1,M510,CASCADES CTR FOR TCHING & LNG,DOE- RESOA,FY15 RESO A TOILETS - STUDENTS,Construction,In-Progress,7/22/2015,DOER,,100000,142528,"$100,000.00 ",DSF: 0000800461
1,M510,CASCADES CTR FOR TCHING & LNG,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,6/9/2015,DOES,,DOES,110625,"$100,625.00 ",DSF: 0000810542
1,M751,M751 SPED - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,5/5/2015,5/5/2015,5/5/2015,11850,0,$0.00 ,DSF: 0000787504
1,M751,M751 SPED - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,5/5/2015,9/4/2015,7/24/2015,33575,0,$0.00 ,DSF: 0000787504
1,M751,M751 SPED - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,12/21/2015,9/15/2016,,452275,415860,"$20,860.00 ",DSF: 0000787504
9,X090,THE FAMILY SCHOOL - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,12/2/2015,8/27/2016,,217580,6852,"$6,723.00 ",DSF: 0000795167
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,Scope,Complete,2/27/2015,7/14/2015,6/17/2015,73419,9783,"$6,783.00 ","DSF: 0000818363, 0000818364"
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,Design,In-Progress,10/27/2015,3/31/2016,,268677,268677,"$55,866.00 ","DSF: 0000818363, 0000818364"
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,Construction,PNS,PNS,PNS,PNS,4717154,4717154,"$1,074.00 ","DSF: 0000818363, 0000818364"
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,399764,399764,"$2,180.00 ","DSF: 0000818363, 0000818364"
9,X104,P.S. 199 - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822714
9,X104,P.S. 199 - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,14760,14760,$0.00 ,DSF: 0000822714
9,X104,P.S. 199 - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,216480,216480,$0.00 ,DSF: 0000822714
9,X104,P.S. 199 - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,14760,14760,$0.00 ,DSF: 0000822714
9,X104,PS 199 - BRONX,DCAS/NYPA,HIGH EFFICIENCY LIGHTING SYSTEM,Construction,In-Progress,5/29/2015,5/13/2016,,1243902,1243902,$0.00 ,DSF:
9,X109,P.S. 109,SCA CIP,WATER PENETRATION/ROOF/PARAPET/MASONRY/STEAM LEAK,Scope,Complete,1/20/2011,6/6/2011,7/25/2011,69070,145059,"$123,704.00 ","DSF: 0000728491, 0000795504, 0000795505, 0000795506, 0000800335"
9,X109,P.S. 109,SCA CIP,WATER PENETRATION/ROOF/PARAPET/MASONRY/STEAM LEAK,Design,Complete,8/27/2014,2/2/2015,5/21/2015,232605,180732,"$168,826.00 ","DSF: 0000728491, 0000795504, 0000795505, 0000795506, 0000800335"
9,X109,P.S. 109,SCA CIP,WATER PENETRATION/ROOF/PARAPET/MASONRY/STEAM LEAK,Construction,PNS,PNS,PNS,PNS,3801398,3801398,"$52,781.00 ","DSF: 0000728491, 0000795504, 0000795505, 0000795506, 0000800335"
9,X109,P.S. 109,SCA CIP,WATER PENETRATION/ROOF/PARAPET/MASONRY/STEAM LEAK,"CM, F&E",PNS,PNS,PNS,PNS,422145,422145,"$25,099.00 ","DSF: 0000728491, 0000795504, 0000795505, 0000795506, 0000800335"
9,X109,P.S. 109 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/7/2014,9789,14831,"$14,831.00 ",DSF: 0000776085
9,X109,P.S. 109 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/8/2014,5/15/2014,4/16/2014,29367,21238,"$18,475.00 ",DSF: 0000776085
9,X109,P.S. 109 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/23/2014,4/18/2015,,373614,373376,"$324,474.00 ",DSF: 0000776085
9,X109,P.S. 109 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/23/2014,4/18/2015,,182681,151845,"$132,935.00 ",DSF: 0000776085
9,X109,P.S. 109 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/9/2015,DOES,,DOES,124481,$520.00 ,DSF: 0000818691
9,X114,P.S. 114 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,6/5/2015,6/5/2015,6/5/2015,17490,159,$159.00 ,DSF: 0000795598
9,X114,P.S. 114 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,6/5/2015,10/5/2015,8/6/2015,49555,637,$637.00 ,DSF: 0000795598
9,X114,P.S. 114 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,11/5/2015,7/31/2016,,667535,621312,$487.00 ,DSF: 0000795598
9,X114,P.S. 114 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,11/5/2015,7/31/2016,,128260,4682,"$4,682.00 ",DSF: 0000795598
9,X114,P.S. 114 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/18/2015,DOES,,DOES,104095,$456.00 ,DSF: 0000818788
